GRIDCODE	CVENTMUN	Fpav
635787	08001	0.262336517
636846	08001	0.259451577
637905	08001	0.251841223
638964	08001	0.226370683
638964	08037	0.002980147
640023	08037	0.029048203
641082	08037	0.029044985
642141	08037	0.029503707
643200	08037	0.032913916
644259	08037	0.02496236
645318	08037	0.001513694
645319	08037	0.013743629
646378	08037	0.018434642
647437	08037	0.029494072
647447	08028	0.092621666
647448	08028	0.329254011
648496	08037	0.029097804
648506	08028	0.363702071
649555	08037	0.029469301
649563	08037	0.007357794
649564	08028	0.14677183
649564	08037	0.009451653
649565	08028	0.067650422
650614	08037	0.029041956
650621	08037	0.00138043
650622	08037	0.016573254
651673	08037	0.029057959
651680	08037	0.017586179
652732	08037	0.020141103
652738	08037	0.007054179
652739	08037	0.010363402
653791	08037	0.021071503
653797	08037	0.016120466
654850	08037	0.020704663
654851	08037	0.003710138
654855	08037	0.003694143
654856	08037	0.012286469
655892	08005	0.140221908
655893	08005	0.140312118
655894	08005	0.139844892
655895	08005	0.13793983
655896	08005	0.137932865
655897	08005	0.137933591
655898	08005	0.137933604
655899	08005	0.027881192
655899	08037	0.011572978
655900	08037	0.014504928
655901	08037	0.014504803
655902	08037	0.018614495
655903	08037	0.01450484
655904	08037	0.014505461
655905	08037	0.014505045
655906	08037	0.014505164
655907	08037	0.014505465
655908	08037	0.016493048
655909	08037	0.015249178
655910	08037	0.040268905
655911	08037	0.02890223
655912	08037	0.008623586
655913	08037	0.001763557
655914	08037	0.017575993
656961	08037	0.014511215
656969	08037	0.01502559
656972	08037	0.01214392
656973	08037	0.008005207
658020	08037	0.014512636
658028	08037	0.014977463
658030	08037	0.00297091
658031	08037	0.012983505
659079	08037	0.014512432
659087	08037	0.015596287
659088	08037	0.001654226
659089	08037	0.019475939
660138	08037	0.007638742
660139	08037	0.006874903
660146	08037	0.025572176
660147	08037	0.018985009
661198	08037	0.014875621
661205	08037	0.003201669
662257	08037	0.014513446
663315	08037	0.001646877
663316	08037	0.0039208
