GRIDCODE	CVENTMUN	Fur	Frur	fpob	PoURb	PoR	PuT	PrT	PoT
638964	8037	0	0.000915751	5.2547E-06	0	7	1324497	7644	1332141
640022	8037	0	0.000130822	7.50671E-07	0	1	1324497	7644	1332141
641078	8037	0	0.000523286	3.00269E-06	0	4	1324497	7644	1332141
641082	8037	0	0.001308216	7.50671E-06	0	10	1324497	7644	1332141
642134	8037	0	0.000130822	7.50671E-07	0	1	1324497	7644	1332141
643192	8037	0	0.000261643	1.50134E-06	0	2	1324497	7644	1332141
643200	8037	0	0.000130822	7.50671E-07	0	1	1324497	7644	1332141
644260	8037	0	0.000130822	7.50671E-07	0	1	1324497	7644	1332141
645318	8037	0	0.008634223	4.95443E-05	0	66	1324497	7644	1332141
645319	8037	0	0.197017268	0.001130511	0	1506	1324497	7644	1332141
646376	8037	0	0.000523286	3.00269E-06	0	4	1324497	7644	1332141
646378	8037	0	0.002878074	1.65148E-05	0	22	1324497	7644	1332141
646379	8037	0	0.003401361	1.95175E-05	0	26	1324497	7644	1332141
647427	8037	0	0.000654108	3.75336E-06	0	5	1324497	7644	1332141
647430	8037	0	0.000130822	7.50671E-07	0	1	1324497	7644	1332141
647433	8037	0	0.000523286	3.00269E-06	0	4	1324497	7644	1332141
647438	8037	0	0.001046572	6.00537E-06	0	8	1324497	7644	1332141
648496	8037	0	0.003270539	1.87668E-05	0	25	1324497	7644	1332141
649564	8037	0	0.095107274	0.000545738	0	727	1324497	7644	1332141
650622	8037	0	0.097462062	0.00055925	0	745	1324497	7644	1332141
651673	8037	0	0.043563579	0.000249974	0	333	1324497	7644	1332141
651680	8037	0	0.177786499	0.001020162	0	1359	1324497	7644	1332141
652726	8037	0	0.000523286	3.00269E-06	0	4	1324497	7644	1332141
653785	8037	0	0.000784929	4.50403E-06	0	6	1324497	7644	1332141
653786	8037	0	0.000784929	4.50403E-06	0	6	1324497	7644	1332141
653791	8037	0	0.00170068	9.75873E-06	0	13	1324497	7644	1332141
654846	8037	0	0.000784929	4.50403E-06	0	6	1324497	7644	1332141
654847	8037	0	0.001177394	6.75604E-06	0	9	1324497	7644	1332141
654848	8037	0.000164591	0.000261643	0.000165148	218	2	1324497	7644	1332141
654856	8037	0.000865989	0.283751962	0.002489226	1147	2169	1324497	7644	1332141
655904	8037	0	0.002223967	1.27614E-05	0	17	1324497	7644	1332141
655905	8037	0.000114006	0.014128728	0.000194424	151	108	1324497	7644	1332141
655906	8037	0.001981129	0.003532182	0.00199003	2624	27	1324497	7644	1332141
655908	8037	0.001204231	0.001569859	0.001206329	1595	12	1324497	7644	1332141
656963	8037	0	0.000392465	2.25201E-06	0	3	1324497	7644	1332141
656964	8037	7.39904E-05	0.001177394	8.03218E-05	98	9	1324497	7644	1332141
656965	8037	0.000642508	0.000392465	0.000641073	851	3	1324497	7644	1332141
656967	8037	1.51001E-05	0.000392465	1.72654E-05	20	3	1324497	7644	1332141
658022	8037	0	0.000392465	2.25201E-06	0	3	1324497	7644	1332141
658023	8037	0	0.000523286	3.00269E-06	0	4	1324497	7644	1332141
658026	8037	0.000426577	0.009419152	0.000478178	565	72	1324497	7644	1332141
659085	8037	0.002955839	0.000654108	0.002942631	3915	5	1324497	7644	1332141
660142	8037	0	0.000261643	1.50134E-06	0	2	1324497	7644	1332141
661202	8037	0.013747106	0.003270539	0.01368699	18208	25	1324497	7644	1332141
662260	8037	0.005402806	0.036237572	0.00557974	7156	277	1324497	7644	1332141
662261	8037	0.01056854	0.000130822	0.010508647	13998	1	1324497	7644	1332141
652735	8037	0.002231036	0	0.002218234	2955	0	1324497	7644	1332141
652736	8037	0.003711598	0	0.0036903	4916	0	1324497	7644	1332141
652738	8037	0.001405817	0	0.00139775	1862	0	1324497	7644	1332141
653793	8037	0.000818424	0	0.000813728	1084	0	1324497	7644	1332141
653794	8037	0.005728967	0	0.005696094	7588	0	1324497	7644	1332141
653795	8037	0.018545908	0	0.01843949	24564	0	1324497	7644	1332141
653796	8037	0.001272181	0	0.001264881	1685	0	1324497	7644	1332141
653797	8037	0.001223861	0	0.001216838	1621	0	1324497	7644	1332141
654849	8037	0.000131371	0	0.000130617	174	0	1324497	7644	1332141
654850	8037	0.000467347	0	0.000464666	619	0	1324497	7644	1332141
654851	8037	0.000338997	0	0.000337051	449	0	1324497	7644	1332141
654852	8037	0.02091964	0	0.0207996	27708	0	1324497	7644	1332141
654853	8037	0.034271123	0	0.034074471	45392	0	1324497	7644	1332141
654854	8037	0.025148415	0	0.02500411	33309	0	1324497	7644	1332141
654855	8037	0.008873557	0	0.00882264	11753	0	1324497	7644	1332141
655907	8037	0.004960374	0	0.00493191	6570	0	1324497	7644	1332141
655909	8037	0.007742562	0	0.007698134	10255	0	1324497	7644	1332141
655910	8037	0.009719916	0	0.009664142	12874	0	1324497	7644	1332141
655911	8037	0.032233369	0	0.032048409	42693	0	1324497	7644	1332141
655912	8037	0.041775859	0	0.041536144	55332	0	1324497	7644	1332141
655913	8037	0.043701873	0	0.043451106	57883	0	1324497	7644	1332141
655914	8037	0.024377556	0	0.024237675	32288	0	1324497	7644	1332141
655915	8037	0.0010487	0	0.001042682	1389	0	1324497	7644	1332141
656966	8037	7.92754E-05	0	7.88205E-05	105	0	1324497	7644	1332141
656968	8037	0.004672717	0	0.004645905	6189	0	1324497	7644	1332141
656969	8037	0.013944916	0	0.013864899	18470	0	1324497	7644	1332141
656970	8037	0.040715079	0	0.040481451	53927	0	1324497	7644	1332141
656971	8037	0.054365544	0	0.054053587	72007	0	1324497	7644	1332141
656972	8037	0.025322821	0	0.025177515	33540	0	1324497	7644	1332141
656973	8037	0.007246525	0	0.007204943	9598	0	1324497	7644	1332141
658027	8037	0.03354632	0	0.033353827	44432	0	1324497	7644	1332141
658028	8037	0.039656564	0	0.039429009	52525	0	1324497	7644	1332141
658029	8037	0.038190347	0	0.037971206	50583	0	1324497	7644	1332141
658030	8037	0.026723352	0	0.02657001	35395	0	1324497	7644	1332141
658031	8037	0.009657251	0	0.009601836	12791	0	1324497	7644	1332141
658032	8037	1.51001E-05	0	1.50134E-05	20	0	1324497	7644	1332141
659086	8037	0.034135223	0	0.03393935	45212	0	1324497	7644	1332141
659087	8037	0.036844176	0	0.036632759	48800	0	1324497	7644	1332141
659088	8037	0.025228445	0	0.025083681	33415	0	1324497	7644	1332141
659089	8037	0.012844876	0	0.012771171	17013	0	1324497	7644	1332141
659090	8037	0.00631938	0	0.006283119	8370	0	1324497	7644	1332141
660143	8037	0.006516436	0	0.006479044	8631	0	1324497	7644	1332141
660144	8037	0.035284338	0	0.035081872	46734	0	1324497	7644	1332141
660145	8037	0.040012171	0	0.039782576	52996	0	1324497	7644	1332141
660146	8037	0.031331894	0	0.031152108	41499	0	1324497	7644	1332141
660147	8037	0.015513059	0	0.015424043	20547	0	1324497	7644	1332141
660148	8037	0.009201984	0	0.009149182	12188	0	1324497	7644	1332141
660149	8037	0.000126841	0	0.000126113	168	0	1324497	7644	1332141
661203	8037	0.048781537	0	0.048501623	64611	0	1324497	7644	1332141
661204	8037	0.024637277	0	0.024495905	32632	0	1324497	7644	1332141
661205	8037	0.015313738	0	0.015225866	20283	0	1324497	7644	1332141
661206	8037	0.015696525	0	0.015606456	20790	0	1324497	7644	1332141
661207	8037	0.003962259	0	0.003939523	5248	0	1324497	7644	1332141
662262	8037	0.013874701	0	0.013795086	18377	0	1324497	7644	1332141
662263	8037	0	0	0	0	0	1324497	7644	1332141
662264	8037	0	0	0	0	0	1324497	7644	1332141
663319	8037	0.000967915	0	0.000962361	1282	0	1324497	7644	1332141
663320	8037	0.000460552	0	0.000457909	610	0	1324497	7644	1332141
