GRIDCODE	CVENMUN	Fb
635772	08005	0.000216197
635773	08005	0.003144757
635773	08001	0.002871544
635774	08005	0.001453621
635774	08001	0.002987257
635777	08001	4.34036E-05
635778	08001	0.01777477
635779	08001	0.006634575
635779	08001	0.014122026
635780	08001	0.020756601
635781	08001	0.020756601
635782	08001	0.020756601
635783	08001	4.85786E-05
635783	08001	0.020708022
635784	08001	0.007525575
635784	08001	0.006234752
635784	08001	0.006996274
635785	08001	0.019491273
635785	08001	0.001265328
635786	08001	0.020594055
635786	08001	0.000162546
635787	08001	0.011040629
635787	08001	0.009715972
635788	08001	0.003997203
635788	08001	0.016759398
635789	08001	0.020756601
635790	08001	0.004057399
635790	08001	0.016699201
635791	08001	0.014438344
635791	08001	0.006318256
635792	08001	0.020756601
635793	08028	8.32341E-05
635793	08028	0.006038269
635793	08001	0.001279194
635793	08001	0.011281137
635794	08028	0.00053386
635794	08028	0.014769307
635794	08001	0.000266719
635795	08028	0.01550237
635796	08028	0.007467801
635796	08028	0.008034569
635797	08028	0.005520193
635797	08028	0.009982176
635798	08028	0.01550237
635799	08028	0.01550237
636831	08005	0.001581158
636832	08005	0.006621006
636833	08005	0.002479536
636835	08037	1.67767E-07
636836	08037	0.000387248
636836	08001	0.004049144
636837	08037	0.000206046
636837	08001	0.000523219
636837	08001	0.018739281
636838	08001	0.017418264
636838	08001	0.003338337
636839	08001	0.020756601
636840	08001	0.020756601
636841	08001	0.020756601
636842	08001	0.020086641
636842	08001	0.00066996
636843	08001	0.00149388
636843	08001	0.019262721
636844	08001	0.009279411
636844	08001	0.011477189
636845	08001	0.020236472
636845	08001	0.000520129
636846	08001	0.020755354
636846	08001	1.24707E-06
636847	08001	0.014081956
636847	08001	0.006674645
636848	08001	0.020756601
636849	08001	0.012706212
636849	08001	0.008050389
636850	08001	0.020756601
636851	08001	0.020756601
636852	08028	0.007907746
636852	08001	0.010168676
636853	08028	0.011710785
636853	08028	0.003791585
636854	08028	0.00329367
636854	08028	1.64903E-05
636854	08028	0.012192209
636855	08028	0.001689602
636855	08028	0.01290188
636855	08028	0.000657613
636855	08028	0.000253274
636856	08028	0.003408707
636856	08028	0.005370291
636856	08028	0.006723371
636857	08028	0.005723683
636857	08028	0.009778687
636858	08028	0.000395923
636858	08028	0.015106447
637889	08005	1.62982E-06
637894	08037	0.000424223
637894	08005	0.002990728
637895	08037	0.001630516
637895	08037	0.001230996
637895	08005	2.49539E-06
637896	08037	0.00247305
637896	08037	0.000314501
637896	08001	0.00051747
637896	08001	2.57306E-05
637897	08037	0.000832763
637897	08001	0.014717979
637898	08001	0.020756601
637899	08001	0.020756601
637900	08001	0.020756601
637901	08037	2.60579E-05
637901	08037	0.000496145
637901	08001	0.015252452
637901	08001	0.001717492
637902	08037	0.000950834
637902	08001	0.003079575
637902	08001	0.010782233
637903	08037	0.001055719
637903	08001	0.013101254
637904	08037	0.001104715
637904	08001	7.52728E-05
637904	08001	0.0126707
637905	08037	0.000168659
637905	08001	0.011494968
637905	08001	0.008038632
637906	08001	0.00520995
637906	08001	0.001302466
637906	08001	0.014244185
637907	08001	0.005424969
637907	08001	0.015331632
637908	08037	0.000424509
637908	08001	0.004059248
637908	08001	0.000331964
637908	08001	0.013287141
637909	08037	0.000346483
637909	08001	0.0099423
637909	08001	0.008301844
637910	08037	0.00023929
637910	08001	0.005411619
637910	08001	0.013609815
637911	08037	3.36192E-05
637911	08037	0.00103796
637911	08028	0.00398918
637911	08028	0.00226104
637911	08001	0.003715819
637911	08001	0.000901817
637912	08037	6.08814E-05
637912	08028	0.000304844
637912	08028	0.014867807
637913	08028	0.003118775
637913	08028	0.012383594
637914	08028	0.010503538
637914	08028	0.000558858
637914	08028	0.004439973
637915	08028	0.01550237
637916	08028	0.01550237
637917	08028	0.014439121
637917	08028	0.001063249
638948	08005	0.001747824
638952	08037	1.92495E-05
638952	08005	2.96877E-07
638953	08037	0.002156621
638953	08037	1.09821E-05
638953	08005	3.55432E-05
638954	08037	0.000674238
638954	08037	0.00052989
638954	08037	0.001658334
638955	08037	0.001439737
638955	08037	0.001422725
638956	08037	0.002460072
638956	08037	0.00018133
638956	08001	0.001602975
638957	08037	0.002246158
638957	08001	0.004469012
638958	08037	0.001981998
638958	08001	0.006384518
638959	08037	0.000830624
638959	08037	0.000810354
638959	08001	0.00885504
638959	08001	2.31552E-06
638960	08037	7.97728E-05
638960	08037	0.002775849
638960	08001	4.95979E-05
638961	08037	0.002862462
638962	08037	0.002862462
638963	08037	0.002862462
638964	08037	0.000517263
638964	08001	0.017005766
638965	08037	0.000399593
638965	08001	0.017859029
638966	08037	0.000472459
638966	08001	0.017330656
638967	08037	0.001339312
638967	08001	0.011044833
638968	08037	0.001871002
638968	08001	0.007189382
638969	08037	0.002454933
638969	08001	0.002219376
638970	08037	0.002094725
638971	08037	0.002025023
638971	08028	0.004535357
638972	08028	0.007649124
638972	08028	0.007853245
638973	08028	0.010935124
638973	08028	0.004567246
638974	08028	0.000975692
638974	08028	0.014526678
638975	08028	0.003181632
638975	08028	0.012320737
638976	08028	0.01550237
640007	08005	0.002520929
640010	08005	0.000921677
640011	08037	0.001160716
640011	08005	0.001998386
640012	08037	0.001473504
640012	08037	0.001388958
640013	08037	0.002862462
640014	08037	0.002862462
640015	08037	0.001699369
640015	08037	0.001163093
640016	08037	0.002862462
640017	08037	0.002862462
640018	08037	0.002409076
640018	08037	0.000453385
640019	08037	0.000855706
640019	08037	0.002006756
640020	08037	0.002862462
640021	08037	0.002862462
640022	08037	0.002862462
640023	08037	0.002862462
640024	08037	0.002862462
640025	08037	0.002862462
640026	08037	0.00286136
640027	08037	0.001728884
640028	08037	0.000115736
640028	08037	0.000525621
640029	08037	0.000134022
640029	08037	0.002389975
640030	08037	0.000563324
640030	08037	0.000612744
640030	08037	0.001131617
640030	08028	0.0024247
640030	08028	0.000579829
640031	08028	0.015283497
640031	08028	0.000218873
640032	08028	0.01550237
640033	08028	0.014430827
640033	08028	0.001071543
640034	08028	0.012868521
640034	08028	4.9061E-05
640034	08028	0.002584788
640035	08028	0.001326721
640035	08028	0.011804144
640035	08028	0.002371505
641066	08005	0.000796833
641067	08005	0.005303315
641068	08005	0.001153004
641069	08005	0.005709131
641070	08037	0.00186243
641070	08037	0.000303864
641070	08005	0.001829665
641071	08037	7.0479E-05
641071	08037	0.002791983
641072	08037	0.002862462
641073	08037	2.58847E-05
641073	08037	0.002836577
641074	08037	0.002165965
641074	08037	0.000696496
641075	08037	0.002481732
641075	08037	0.00038073
641076	08037	0.002004777
641076	08037	0.000857685
641077	08037	0.001294689
641077	08037	0.001567773
641078	08037	0.000214273
641078	08037	0.002648189
641079	08037	0.002862462
641080	08037	0.002862462
641081	08037	0.002862462
641082	08037	0.002862462
641083	08037	0.002198893
641084	08037	0.00156046
641085	08037	0.000622516
641087	08037	0.001813245
641087	08037	1.72208E-06
641088	08037	0.002688504
641088	08037	0.000173958
641089	08037	0.001128124
641089	08037	0.00116543
641089	08028	0.003081061
641090	08028	0.003400973
641090	08028	0.012101396
641091	08028	0.00292762
641091	08028	0.01257475
641092	08028	0.01550237
641093	08028	0.005636587
641093	08028	0.009865783
641094	08028	0.000724584
641094	08028	0.014777786
642125	08005	0.000813409
642126	08005	0.007381141
642127	08037	0.000555147
642127	08005	0.006064075
642128	08037	0.002584767
642128	08005	0.000729836
642129	08037	0.001548564
642129	08037	0.001301652
642129	08005	3.21852E-05
642130	08037	0.002862462
642131	08037	0.002862462
642132	08037	0.000668629
642132	08037	0.002193833
642133	08037	0.001247314
642133	08037	0.001615148
642134	08037	0.000402666
642134	08037	0.002459796
642135	08037	0.002862462
642136	08037	0.002862462
642137	08037	0.002862462
642138	08037	0.002862462
642139	08037	0.002132543
642140	08037	0.001354703
642141	08037	0.002561134
642142	08037	0.001283918
642145	08037	0.00038218
642146	08037	0.002788717
642146	08037	7.58931E-07
642147	08037	0.001183701
642147	08037	0.001678761
642148	08037	0.00016262
642148	08037	0.001132104
642148	08028	0.002581313
642148	08028	0.005909158
642149	08028	0.014959791
642149	08028	0.000542579
642150	08028	0.011192959
642150	08028	0.00430941
642151	08028	0.011841853
642151	08028	0.003660517
642152	08028	0.00101329
642152	08028	0.01448908
642153	08028	0.01550237
643184	08005	0.005888302
643185	08005	0.007523112
643186	08037	0.001239714
643186	08005	0.004264899
643187	08037	0.002862462
643188	08037	0.000452298
643188	08037	0.002410164
643189	08037	0.002862462
643190	08037	0.002862462
643191	08037	0.002862462
643192	08037	0.002862462
643193	08037	0.002862462
643194	08037	0.002862462
643195	08037	0.002862462
643196	08037	0.002862462
643197	08037	0.002169756
643198	08037	0.000143028
643199	08037	0.001908865
643200	08037	0.002854332
643201	08037	0.002312194
643202	08037	0.000286041
643204	08037	0.00175236
643205	08037	0.002242434
643205	08037	0.000620028
643206	08037	0.002862462
643207	08037	0.001235601
643207	08037	0.001275315
643207	08028	0.001903882
643208	08028	0.015476969
643208	08028	2.54004E-05
643209	08028	0.002819444
643209	08028	0.012682926
643210	08028	0.010891228
643210	08028	0.004611142
643211	08028	0.01550237
643212	08028	0.01550237
644243	08005	0.007523112
644244	08005	0.007523112
644245	08037	0.001862375
644245	08005	0.002628425
644246	08037	0.001416962
644246	08037	0.0014455
644247	08037	8.25531E-08
644247	08037	0.002862379
644248	08037	0.002862462
644249	08037	0.002862462
644250	08037	0.002862462
644251	08037	0.002862462
644252	08037	0.002862462
644253	08037	0.002862462
644254	08037	0.002862462
644255	08037	0.002862462
644256	08037	0.002314622
644257	08037	0.000109834
644257	08037	0.001838686
644258	08037	0.001846332
644258	08037	0.00101613
644259	08037	0.000663263
644259	08037	0.001755047
644260	08037	0.00237031
644261	08037	0.000993809
644262	08037	0.000167024
644262	08037	6.18401E-05
644263	08037	0.002746515
644263	08037	1.46489E-06
644264	08037	0.001217991
644264	08037	0.001644471
644265	08037	0.000231225
644265	08037	0.002631236
644266	08037	0.002413382
644266	08037	0.000110025
644266	08028	0.001836236
644267	08037	0.000116451
644267	08028	0.009101389
644267	08028	0.005705582
644267	08028	6.47306E-05
644268	08028	0.009210578
644268	08028	0.006291792
644269	08028	8.05996E-05
644269	08028	0.01542177
644270	08028	0.014706263
644271	08028	0.007438509
645302	08005	0.007523112
645303	08005	0.007523112
645304	08037	0.00161144
645304	08037	0.000785493
645304	08005	0.001207072
645304	08005	1.64304E-05
645305	08037	6.58479E-05
645305	08037	0.002796614
645306	08037	0.002862462
645307	08037	0.002862462
645308	08037	0.002862462
645309	08037	0.002862462
645310	08037	0.002862462
645311	08037	0.002862462
645312	08037	0.002862462
645313	08037	0.002862462
645314	08037	0.002862462
645315	08037	1.17093E-05
645315	08037	0.002850753
645316	08037	0.001971091
645316	08037	0.00089137
645317	08037	0.001916059
645317	08037	0.000946403
645318	08037	3.24251E-05
645318	08037	0.000660311
