GRIDCODE	CVENTMUN	LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m)	LONG_CARR_x_CELDA x CARRILES	Fc
635787	08001	883927.725	12555.230535	0.01420391
636846	08001	883927.725	12417.159456	0.01404771
637905	08001	883927.725	12052.933573	0.01363566
638964	08001	883927.725	10833.932479	0.01225658
655892	08005	572318.762	6099.636025	0.01065776
655893	08005	572318.762	6103.560148	0.01066462
655894	08005	572318.762	6083.235898	0.01062910
655895	08005	572318.762	6000.365894	0.01048431
655896	08005	572318.762	6000.062939	0.01048378
655897	08005	572318.762	6000.094532	0.01048383
655898	08005	572318.762	6000.095106	0.01048383
655899	08005	572318.762	1212.828469	0.00211915
647447	08028	145603.752	1853.377229	0.01272891
647448	08028	145603.752	6588.435613	0.04524908
648506	08028	145603.752	7277.747870	0.04998324
638964	08037	482200.752	1232.756567	0.00255652
640023	08037	482200.752	3662.813313	0.00759603
640023	08037	482200.752	8353.158209	0.01732299
641082	08037	482200.752	12014.640317	0.02491626
642141	08037	482200.752	12204.393706	0.02530978
643200	08037	482200.752	13615.048146	0.02823523
644259	08037	482200.752	3193.656066	0.00662308
644259	08037	482200.752	7132.180734	0.01479090
645318	08037	482200.752	626.149021	0.00129852
645319	08037	482200.752	5685.138304	0.01178998
646378	08037	482200.752	4922.330564	0.01020805
646378	08037	482200.752	2703.274789	0.00560612
647437	08037	482200.752	12200.408028	0.02530151
647438	08037	482200.752	528.607428	0.00109624
647439	08037	482200.752	259.048640	0.00053722
648496	08037	482200.752	11458.603044	0.02376314
648496	08037	482200.752	577.886421	0.00119844
648496	08037	482200.752	2666.826312	0.00553053
648497	08037	482200.752	7736.196716	0.01604352
649555	08037	482200.752	45.833695	0.00009505
649555	08037	482200.752	12144.327736	0.02518521
649563	08037	482200.752	3043.597611	0.00631189
649563	08037	482200.752	1366.726436	0.00283435
649564	08037	482200.752	3909.735767	0.00810811
649564	08037	482200.752	4425.960949	0.00917867
650614	08037	482200.752	12013.387425	0.02491366
650621	08037	482200.752	571.023569	0.00118420
650622	08037	482200.752	6855.630430	0.01421738
650622	08037	482200.752	6701.651162	0.01389805
651673	08037	482200.752	12020.007219	0.02492739
651680	08037	482200.752	7274.633556	0.01508632
651680	08037	482200.752	2196.004316	0.00455413
651681	08037	482200.752	4664.611561	0.00967359
652732	08037	482200.752	7074.190953	0.01467063
652732	08037	482200.752	1257.302939	0.00260743
652738	08037	482200.752	2918.005449	0.00605143
652739	08037	482200.752	4286.886193	0.00889025
652739	08037	482200.752	6804.696627	0.01411175
653791	08037	482200.752	7414.371615	0.01537611
653791	08037	482200.752	549.380054	0.00113932
653791	08037	482200.752	752.607937	0.00156078
653797	08037	482200.752	6668.331830	0.01382895
653797	08037	482200.752	5496.512288	0.01139880
653798	08037	482200.752	3198.440735	0.00663301
654850	08037	482200.752	1256.454928	0.00260567
654850	08037	482200.752	7308.159028	0.01515584
654851	08037	482200.752	1534.721752	0.00318274
654855	08037	482200.752	1528.105444	0.00316902
654856	08037	482200.752	5082.375054	0.01053996
654856	08037	482200.752	6367.477929	0.01320504
655899	08037	482200.752	4787.235195	0.00992789
655900	08037	482200.752	6000.054371	0.01244306
655901	08037	482200.752	6000.003018	0.01244296
655902	08037	482200.752	5307.525271	0.01100688
655902	08037	482200.752	692.514050	0.00143615
655902	08037	482200.752	1699.963409	0.00352543
655903	08037	482200.752	6000.018036	0.01244299
655904	08037	482200.752	6000.274990	0.01244352
655905	08037	482200.752	6000.102757	0.01244316
655906	08037	482200.752	6000.152217	0.01244327
655907	08037	482200.752	6000.276789	0.01244352
655908	08037	482200.752	6822.453028	0.01414857
655909	08037	482200.752	3577.049051	0.00741817
655909	08037	482200.752	2730.869062	0.00566334
655910	08037	482200.752	2704.464797	0.00560859
655910	08037	482200.752	159.508390	0.00033079
655910	08037	482200.752	1487.494675	0.00308480
655910	08037	482200.752	3572.416755	0.00740857
655910	08037	482200.752	8733.600952	0.01811196
655911	08037	482200.752	11929.824424	0.02474037
655911	08037	482200.752	25.764520	0.00005343
655912	08037	482200.752	3567.200679	0.00739775
655913	08037	482200.752	729.506630	0.00151287
655914	08037	482200.752	7270.419793	0.01507758
655914	08037	482200.752	3753.541346	0.00778419
655915	08037	482200.752	2614.169220	0.00542133
656961	08037	482200.752	6002.655348	0.01244846
656969	08037	482200.752	6215.429475	0.01288971
656972	08037	482200.752	5023.408826	0.01041767
656973	08037	482200.752	3311.404140	0.00686727
656973	08037	482200.752	7083.994619	0.01469097
658020	08037	482200.752	6003.242962	0.01244968
658028	08037	482200.752	6195.521821	0.01284843
658030	08037	482200.752	1228.935689	0.00254860
658031	08037	482200.752	5370.708218	0.01113791
658032	08037	482200.752	2680.005927	0.00555786
659079	08037	482200.752	6003.158573	0.01244950
659087	08037	482200.752	6451.502196	0.01337929
659088	08037	482200.752	684.281126	0.00141908
659089	08037	482200.752	8056.344664	0.01670745
660138	08037	482200.752	3159.813747	0.00655290
660139	08037	482200.752	2843.846737	0.00589764
660146	08037	482200.752	3337.904780	0.00692223
660146	08037	482200.752	6130.633333	0.01271386
660146	08037	482200.752	1109.553219	0.00230102
660147	08037	482200.752	7853.268075	0.01628630
661198	08037	482200.752	6153.394031	0.01276106
661205	08037	482200.752	1324.390335	0.00274655
662257	08037	482200.752	6003.577998	0.01245037
663315	08037	482200.752	681.241014	0.00141277
663316	08037	482200.752	350.895525	0.00072770
663316	08037	482200.752	667.100985	0.00138345
663316	08037	482200.752	603.867231	0.00125231
